BasedOn.Code,CanRamp,ConfigureDuringSale,Description,DisplayUrl,Family,IsActive,IsAssetizable,IsSoldOnlyWithOtherProds,Name,ProductCode,QuantityUnitOfMeasure,SpecificationType,StockKeepingUnit,Type,UnitOfMeasure.UnitCode
,false,NotAllowed,Drive innovation with AI & Machine Learning by earning specialized certifications.,https://images.ctfassets.net/kcw3l04aboxk/2miJniBNNQbsepl8dA3IPk/01376e30b7db50e17112dfc3312bcd05/Artboard_11.png,Support,true,true,false,Specialized Certifications,CERT007,,Commercial,CERT007,Bundle,
,false,Allowed,Anchor Product,,Service,true,true,false,Cloud Storage Pro,CLOUD001,,Commercial,CLOUD001,,
,false,Allowed,Anchor Product,,Service,true,true,false,API Access Premium,CLOUD001-2,,Commercial,CLOUD001-2,,
,false,Allowed,Anchor Product with only one usage,,Service,true,true,false,Data Access Basic,CLOUD002,,Commercial,CLOUD002,,
,false,Allowed,Commitment of 10K Tokens with 10% discount,,,true,true,false,Commitment - A,COMMITMENT-A,,Commercial,COMMITMENT-A,,
,false,Allowed,Commitment of 5K Tokens with 20% discount,,,true,true,false,Commitment - B,COMMITMENT-B,,Commercial,COMMITMENT-B,,
CS001,false,Allowed,Cloud computing model that enables storing data and files on the internet through a cloud computing,https://media.istockphoto.com/id/963131214/photo/cloud-computing.jpg?s=612x612&w=0&k=20&c=r6hJwUZSXlaPjpxNfUl3SxwQaZ-DDEQnxfrrMmYOJyA=,Service,true,true,false,Cloud Storage,CS001,,Commercial,CS001,,
,false,NotAllowed,Professional competency certification Certifies the of Proficiency,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrCsCPw3nqBeBajDYd6niLi-FFh8MpCWn9Sg&usqp=CAU,Support,true,true,false,Developer Certification,DCERT001,,Commercial,DCERT001,,
,false,,This is Usage definition product. Should not come in Catalog.,,,true,true,false,API Access Premium Definition Product,DEF001,,Commercial,DEF001,,
CMP001,false,Allowed,Personal computing device designed to fit on top of a typical office desk,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGp_xtbLqudSff6S0wbAzvn4631mcUDi3N8F52JbRkiw&s,Hardware,true,true,false,Desktop,DS001,,Commercial,DS001,,
,false,Allowed,"A complete package for data analytics and visualization, ideal for teams managing large datasets with frequent reporting needs.",,Software,true,true,false,Elastic Analytics Suite (EAS) Bundle,EAS098781A,,Commercial,EAS098781A,Bundle,
,false,Allowed,"Analyze large datasets using managed analytics tools. Uses Salesforce Einstein Analytics, Tableau CRM",,Software,true,true,false,Elastic Analytics Suite (EAS),EAS1001,,Commercial,EAS1001,,
,false,Allowed,"Portable 5TB External Hard Drive HDD – USB 3.0 for PC, Mac, PS4, & Xbox",https://m.media-amazon.com/images/I/81o5zJ+FcPL._AC_SL1500_.jpg,,true,true,false,External Hard Drive,EHD009,,Commercial,EHD009,,
SFT001,false,Allowed,Figma Subscription,https://unsplash.com/photos/a-black-cell-phone-uT7l-Ds81YM,,true,true,false,Figma Subscription,FIG001,,Commercial,FIG001,,
,false,Allowed,"Use ChatGPT in Google Workspace.
Boost your productivity with Gemini and ChatGPT directly inside your Google Docs, Sheets, Slides, Drive, and Gmail",https://images.app.goo.gl/z3RuPoHj8eSWq1f99,Software,true,true,false,GPT for workspace,GPTW001,,Commercial,GPTW001,,
,false,Allowed,Grow your business with Workspace,https://www.modernmanagedit.com/product/google-workspace-business-starter/,Software,true,true,false,Google Workspace,GW001,,Commercial,GW001,,
,false,NotAllowed,Makes spoken communication possible without having to wear an earpiece.,https://media.istockphoto.com/id/182776995/photo/headset.jpg?s=612x612&w=0&k=20&c=JiwLaWc7dVPm7JjwxA5PV-CLDjY-Zg6xL4owoyGd9_M=,Miscellaneous,true,true,false,Headset,HDS001,,Commercial,HDS001,,
,false,Allowed,Anchor Product,,,true,true,false,Internet Service,INTERNET-SERVICE,,Commercial,INTERNET-SERVICE,,
,false,,,,,true,true,false,Internet Service-Billing Product,INTERNET-SERVICE-BILLING-PRODUCT,,Commercial,INTERNET-SERVICE-BILLING-PRODUCT,,
,false,Allowed,Pack Product,,,true,true,false,Internet Service - Pack,IS001,,Commercial,IS001,,
KB001,false,Allowed,"Input device used to enter characters and functions into the computer system by pressing buttons, or keys.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKLysIqqUy8Oi_YGyYJharlia-J1WDMkpsKPzU9H3sNybhiwLXmMLSjU7K9lANZEFsyMQ&usqp=CAU,Hardware,true,true,false,Keyboard,KB001,,Commercial,KB001,,
TCM0091A4,false,Allowed,Kyocera Thermal Compound is custom made with pure aluminium powder,,,true,true,false,Kyocera Thermal Compound,KTC677R,,Commercial,KTC677R,Bundle,KG
,false,NotAllowed,"Adaptors, cards, cases, data storage devices, input devices, networking accessories, docking stations, security devices and webcams that are used with Your Laptop",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnxjZ1g4DEG-O7e0e4NykbtJLxOUkwrcwBOhNU8MqWQQ&s,Miscellaneous,true,true,false,Laptop Accessories,LA001,,Commercial,LA001,Bundle,
,false,Allowed,"The laptop basic bundle includes a Laptop, mouse, and warranty for 1 year.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbf49JG4zZogCmZMJuXU38qOkR9X36MN4bSw&usqp=CAU,Hardware,true,true,false,Laptop Basic Bundle,LB001,,Commercial,LB001,Bundle,
,false,NotAllowed,Premium Laptop bag with separate compartments for laptop and accessories.,https://gangslifestyle.com/cdn/shop/files/goldstorm-collegetravel-backpack-513.png?v=1706166408&width=1300,Miscellaneous,true,true,false,Laptop Bag,LBG001,,Commercial,LBG001,,
,false,Allowed,Lucidchart is an intelligent diagramming application that brings teams together to make better decisions and build the future.,https://images.app.goo.gl/iG63Lpj2xUc9jbuS7,Software,true,true,false,Lucidchart,LCD001,,Commercial,LCD001,,
,false,Allowed,"Laptop Care package with Warranty, Support and Basic Training",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDKganIBAKYF78LGme-XcgnxVwUuZFF39n9w&usqp=CAU,Service,true,true,false,Laptop Care Package,LCP001,,Commercial,LCP001,Bundle,
,false,NotAllowed,LLM Certification,https://www.lsac.org/general/images/law-programs/llm-degree-icon-color.png,Support,true,true,false,LLM Certification,LLMCERT001,,Commercial,LLMCERT001,,
,false,NotAllowed,Model Training with Machine Learning - Data Science Primer,https://elitedatascience.com/wp-content/uploads/2018/05/Model-Training-Feature.jpg,Support,true,true,false,Machine Learning Model Training,LLMTRG001,,Commercial,LLMTRG001,,
CMP001,false,Allowed,Battery- or AC-powered personal computer (PC) smaller than a briefcase,https://media.istockphoto.com/id/1023428598/photo/3d-illustration-laptop-isolated-on-white-background-laptop-with-empty-space-screen-laptop-at.jpg?s=612x612&w=0&k=20&c=ssK6er5v1fGpSghGiqySwoD8tn5blC7xgefQJI2xU38=,Hardware,true,true,false,Laptop,LP001,,Commercial,LP001,,
,false,Allowed,"The laptop pro bundle includes a Laptop, mouse, warranty for 2 years, premium support and printer bundle",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCrGjPR1fvJqg4yP3RMyqjI0H9eL6tk1fvzw&usqp=CAU,Hardware,true,true,false,Laptop Pro Bundle,LPB001,,Commercial,LPB001,Bundle,
,false,Allowed,"Laptop, Laptop Bag, Laptop stand, Mouse, Keyboard, USB-C Hub,External Hard Drive, Noise Cancelling Headphones, office 365",https://m.media-amazon.com/images/I/613Fno-NLYL._AC_SL1000_.jpg,,true,true,false,Laptop Productivity Bundle,LPB001-2,,Commercial,LPB001-2,Bundle,
,false,NotAllowed,"Ergonomic Laptop Stand for Desk, Adjustable Height Up to 20"", Laptop Riser Portable Computer, Laptop Stands, Fits All MacBook, Laptops 10 15 17 Inches.",https://m.media-amazon.com/images/I/71DpZNIFWKL._AC_SL1500_.jpg,,true,true,false,Laptop Stand,LPST001,,Commercial,LPST001,,
,false,Allowed,Maintenance product for hardware,,,true,true,false,Hardware Maintenance,MAIN0098,,Commercial,MAIN0098,,
MN001,false,Allowed,"Table mounted high quality high resolution Monitor with 3 HDMI, 3 USB Ports",https://images.philips.com/is/image/PhilipsConsumer/24M1N3200ZA_94-IMS-en_IN?$jpglarge$&wid=960,Hardware,true,true,false,Monitor,MO001,,Commercial,MO001,,
M001,false,Allowed,HeyMicky Mouse compatible comes with choice of USB or Wireless connectivity.,https://5.imimg.com/data5/IS/JP/MY-58678879/computer-mouse.jpg,Hardware,true,true,false,Mouse,MOU001,,Commercial,MOU001,,
,false,Allowed,"H1 Active Noise Cancelling Headphones with Microphone, Wireless Over Ear Bluetooth Headphones, 3D Deep Bass, Memory Foam Ear Cups,40H Playtime for Kids, TV, Travel, Online Class, Home Office.",https://m.media-amazon.com/images/I/6181wRqDwUL._AC_SL1500_.jpg,,true,true,false,Noise-Canceling Headphones,NCH025,,Commercial,NCH025,,
SFT001,false,NotAllowed,"The all-new Office 365 lets you create, share, and collaborate all in one place with your favorite apps",https://images.app.goo.gl/fHGaq8vv1imgChgB6,Software,true,true,true,Office 365,OF001,,Commercial,OF001,,
,false,Allowed,"The printer bundle includes various printer options, printer paper with various connectivity options","https://www.jiomart.com/images/product/original/rvh2zawkv5/se-online-multipurpose-a4-210x297mm-100gsm-double-sided-plain-white-paper-copy-printing-paper-pack-of-100-sheet-white-product-images-orvh2zawkv5-p605717531-5-202310221628.jpg?im=Resize=(420,420)",Hardware,true,true,false,Printer Bundle,PB001,,Commercial,PB001,Bundle,
,false,Allowed,A Professional Certification is a credential awarded to individuals who have demonstrated a specific level of expertise and knowledge in a particular profession or industry.,,Support,true,true,false,Professional Certifications,PCERT001,,Commercial,PCERT001,Bundle,
,false,NotAllowed,,,,true,true,false,Printer Maintenance,PM002,,Commercial,PM002,,
P001,false,Allowed,High Quality Printer Papers of various sizes. Each pack of 500 papers.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQylcHrD-KFEePiWUgmrL0fFj5Mmi5f1HgzUTeWxPr2ZQYU4G81KFCIzfDPRR6fDUmzOHE&usqp=CAU,Hardware,true,true,false,Printer Paper,PP001,,Commercial,PP001,,
PR001,false,Allowed,Accepts text and graphic output from a computer and transfers the information to paper,https://in-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/5/4/54R58B-1_T1696992896.png,Hardware,true,true,false,Printer,PRN001,,Commercial,PRN001,,
MED01,false,Allowed,Podcast Subscription,https://unsplash.com/photos/a-black-microphone-with-a-yellow-background-mw9u1Q38rl4,,true,true,false,Podcast Subscription,PS001,,Commercial,PS001,,
,false,Allowed,"Purified Aluminium Powder, 99.99% Purity Metal aluminum.",,,true,true,false,Purified Aluminium Powder,PUP001A45,,Commercial,PUP001A45,,GRAMS
,false,Allowed,Access up to 5 dashboards for $15.00/month.,,Software,true,true,false,Pro Visualization Suite,PVS9876,,Commercial,PVS9876,,
SFT001,true,Allowed,Quickbooks Online product for SMB businesses.,,,true,true,false,Quickbooks Online,QBO0021,,Commercial,QBO0021,,
SFT001,false,Allowed,Quip Subscription,https://i.pcmag.com/imagery/reviews/05YKOGb3tKP8xIR9wNYkqas-9.fit_scale.size_1028x578.v1569479308.png,Software,true,true,false,Quip,QP001,,Commercial,QP001,,
,false,Allowed,Additional 50 GB Storage for $25.00 (valid for 1 year).,,Software,true,true,false,Storage Boost Pack,SBP10907,,Commercial,SBP10907,,
,false,Allowed,Skills development bundle includes various products to enhance your skills and uplift your profile.,https://cxotoday.com/wp-content/uploads/2022/06/CXO-Skills.jpeg,,true,true,false,Skill Development Package,SDP001,,Commercial,SDP001,Bundle,
,false,Allowed,Slack Support - Derived Product,,,true,true,false,Slack Support,SLKDPP007,,Commercial,SLKDPP007,,
,false,Allowed,"Slack Training, derived product.",,,true,true,false,Slack Training,SLKDPP008,,Commercial,SLKDPP008,,
,false,Allowed,"Slack Sandbox, derived product.",,,true,true,false,Slack Sandbox,SLKDPP009,,Commercial,SLKDPP009,,
,false,Allowed,Slack Productivity Software,,,true,true,false,Slack,SLKSRC001,,Commercial,SLKSRC001,,
SL001,false,Allowed,Any type of Support for your products purchased from our portal. Choose between Premium and Premium Plus Support to make your life easier.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlTy-f7-QgWQhj24Fgq2GAmhxXcFuI6HAT3g&usqp=CAU,Service,true,true,false,Support,SP001,,Commercial,SP001,,
SEC001,false,Allowed,Security Systems Surveillance,,,true,true,false,Security Systems Surveillance,SSS001,,Commercial,SSS001,,
TIM00001,false,Allowed,"Corrosion Inhibitor, Non Toxic, Amber, Metal Pail, Oily Amber Transparent Liquid, 10.3 pH, Flash Point (F) 315 Degrees F, .903 - .913 Specific Gravity, Ford Cup No. 4 / 30-45 Seconds, 70 Degrees F Viscosity Index, VOC Content 0.1, 10",,,true,true,false,Fluid Film Corrosion Inhibitor,TIM12367,,Commercial,TIM12367,,LITRE
TIM00001,false,Allowed,"Propylene Glycol USP/EP is a high-purity grade of monopropylene glycol, renowned for its versatility and safety. This clear, colorless, and nearly odorless liquid is water-soluble and hygroscopic, making it ideal for a wide range of applications.",,,true,true,false,Propylene Glycol,TIM235A7,,Commercial,TIM235A7,,LITRE
TIM00001,false,Allowed,"EasyDye is a fluorescent leak detection dye for air conditioning and refrigeration systems. It can quickly and easily be injected into a system to find refrigerant leaks anywhere in the system. It will work with all commercially available oils, and it is perfect for split systems, heat pumps, microchannel coils, packaged units and mini-splits.",,,true,true,false,EasyDye,TIM67542E,,Commercial,TIM67542E,,LITRE
TIM00001,false,Allowed,"Bundle Composition:
Glycol-based (propylene glycol).
Contains corrosion inhibitors to protect system components.
Infused with dye for visibility and system monitoring.",,,true,true,false,Data Center Bundle,TIMB893AB45,,Commercial,TIMB893AB45,Bundle,LITRE
,false,Allowed,Product bundle with root + 4 levels,,Support,true,true,false,Training Platform Package,TPP01,,Commercial,TPP01,Bundle,
TL001,false,Allowed,Equipped with a wealth of skills,https://www.shutterstock.com/image-photo/call-center-manager-happy-team-260nw-2314271337.jpg,Service,true,true,false,Basic Training,TRG001,,Commercial,TRG001,,
,false,NotAllowed,Access Complete Beginner to Advanced training,,Software,true,true,false,Udemy Access,UA001,,Commercial,UA001,,
,false,NotAllowed,"Turns your laptop into a portable workstation, adding 4K video, Gigabit Ethernet, and two USB 3.0 ports",https://prod.isg.bruneau.media/asset/aHR0cHM6Ly9pbWFnZXMuaWNlY2F0LmJpei9pbWcvZ2FsbGVyeS8xMDUwMDQ3MThfODM2MTY0NTg2My5qcGc=?dpi=2.00&format=webp&height=477&quality=85&width=477,Miscellaneous,true,true,false,USB C multiport adapter hub with 4K HDMI,USB01,,Commercial,USB01,,
,false,Allowed,Rust-prevention agent for tools and equipment.,,,true,true,false,Vaseline Gel,VIL8899089,,Commercial,VIL8899089,,GRAMS
,false,NotAllowed,Promise by manufacturer regarding the condition of their product,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS268_nXXWpPWBN8xscScw-usavPnQ-Ym7Mn0dEwqk68w&s,Service,true,true,false,Warranty,W001,,Commercial,W001,,
