RLM_Learning_ActionText__c,RLM_Learning_Active__c,RLM_Learning_Description__c,RLM_Learning_Header__c,Name,RLM_Learning_Note__c,RLM_Learning_Sub_Header__c,RLM_Learning_Action__r.Name,RLM_Learning_Icon__r.Name
,true,"<p>Automate and optimize the quote creation or order capture experience with the right products and right prices whether its an initial, amendment, or renewal sale.</p><p><br></p><ul><li><a href=""https://developer.salesforce.com/docs/atlas.en-us.revenue_lifecycle_management_dev_guide.meta/revenue_lifecycle_management_dev_guide/qoc_overview.htm"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Quote and Order Capture</strong></a>: Configure, price, and sell products with Quote and Order Capture in Revenue Lifecycle Management. Quote and Order Capture supports subscription lifecycles and ensures end-to-end integrity of your quotes and orders.</li><li><a href=""https://developer.salesforce.com/docs/atlas.en-us.revenue_lifecycle_management_dev_guide.meta/revenue_lifecycle_management_dev_guide/quote_and_order_capture_standard_objects.htm"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Asset Lifecycle</strong></a>: Get insights into customer assets and increase customer lifetime value by using Revenue Lifecycle Management. Also, get a consolidated list of all assets that belong to an account.</li></ul><p>↗ <a href=""https://developer.salesforce.com/docs/atlas.en-us.revenue_lifecycle_management_dev_guide.meta/revenue_lifecycle_management_dev_guide/quote_and_order_capture_standard_objects.htm"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Go to the Transaction Management Developer Guide</strong></a></p>",,Transaction Management Customize Capabilities Popup Text Block,,,,
,true,"<p><span style=""color: rgb(0, 0, 0);"">You can use Dynamic Revenue Orchestrator to design and track the entire fulfilment process.</span></p><p><br></p><p><a href=""https://help.salesforce.com/s/articleView?id=ind.dro_turn_on_dynamic_revenue_orchestrator.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Get Started with Dynamic Revenue Orchestrator</strong></a>: <span style=""color: rgb(0, 0, 0);"">See a high-level overview of the steps for setting up Dynamic Revenue Orchestrator (DRO).</span></p><p><br></p><p><a href=""https://help.salesforce.com/s/articleView?id=ind.dro_dynamic_revenue_orchestrator.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Design-Time Administration</strong></a>: <span style=""color: rgb(0, 0, 0);"">Design time is the time before a user submits an order, when a fulfillment designer is setting everything up. Set up the decomposition and orchestration during design time so that it&#39;s ready to go when an order is submitted.</span></p><p><br></p><p><a href=""https://help.salesforce.com/s/articleView?id=ind.dro_run_time_administration.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Run-Time Administration</strong></a>: <span style=""color: rgb(0, 0, 0);"">Run Time refers to the time after an order is submitted and fulfillment is happening. During run time, fulfillment operators track the decomposition and orchestration of products.</span></p><p><br></p><p><a href=""https://help.salesforce.com/s/articleView?id=ind.dro_dynamic_revenue_orchestrator_concepts_and_references.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Dynamic Revenue Orchestrator Concepts and References</strong></a>:<span style=""color: rgb(0, 0, 0);""> This section contains topics that explain the concepts and details that you must know to get the full power of DRO.</span></p><p><br></p><p>↗ <a href=""https://help.salesforce.com/s/articleView?id=ind.dro_dynamic_revenue_orchestrator.htm&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Explore Dynamic Revenue Orchestrator in Salesforce Help</strong></a></p>",,DRO Get Started Popup Text Block,,,,
,true,"<p>We&#39;ve got Dynamic Revenue Orchestrator set up for you. If you need to check the setup or review the steps, just refer to this. Before you set up Dynamic Revenue Orchestrator, complete these prerequisites:</p><p><br></p><ul><li><a href=""https://help.salesforce.com/s/articleView?id=ind.product_catalog_introduction.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Set Up Product Catalog Management</strong></a>.</li><li><a href=""https://help.salesforce.com/s/articleView?id=ind.pricing_salesforce_pricing.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Set Up Salesforce Pricing</strong></a>.</li><li><a href=""https://help.salesforce.com/s/articleView?id=ind.qocal_sales_transactions_rev_cloud.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Enable Revenue Settings (Set Up Orders)</strong></a>.</li><li><a href=""https://help.salesforce.com/s/articleView?id=ind.dro_turn_on_dynamic_revenue_orchestrator.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Enable Dynamic Revenue Orchestrator</strong></a>: You must turn on Dynamic Revenue Orchestrator so that your org is prepared to use it for fulfillment.</li><li><a href=""https://help.salesforce.com/s/articleView?id=ind.dro_enable_in_flight_amendments.htm&amp;type=5"" target=""_blank"" rel=""noopener noreferrer""><strong>Enable In-flight Amendments:</strong></a><strong> </strong>Allow changes to fulfillment requests that are in progress.</li><li><a href=""https://help.salesforce.com/s/articleView?id=ind.dro_turn_on_future_dated_steps.htm&amp;type=5"" target=""_blank"" rel=""noopener noreferrer""><strong>Enable Future Dated Steps:</strong></a><strong> </strong>Execute fulfillment steps on a future date.</li><li><a href=""https://help.salesforce.com/s/articleView?id=ind.qocal_order_submission_for_fulfillment.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Automate Order Submission to Dynamic Revenue Orchestrator</strong></a>: Create a record-triggered flow that automatically submits Agentforce Revenue Management orders to Dynamic Revenue Orchestrator when the orders are activated.</li><li><a href=""https://help.salesforce.com/s/articleView?id=ind.dro_turn_on_features_to_manage_fallout_and_service_level_agreements.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Set Up Fallout and Service Level Agreements Settings</strong></a>: Turn on features to manage failed or late fulfillment steps. Dynamic Revenue Orchestrator sets up certain decision tables, which are turned on automatically.</li><li><a href=""https://help.salesforce.com/s/articleView?id=ind.dro_create_queues.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Create Queues</strong></a>: Create Salesforce queues to contain fatally failed steps: For example, you can create a queue for each group in your organization that handles fallout. These queues must include Fulfillment Step as a supported object.</li></ul><p>↗ <a href=""https://help.salesforce.com/s/articleView?id=ind.dro_basic_set_up.htm&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Show Me How to Set Up Dynamic Revenue Orchestrator in Salesforce Help</strong></a></p>",,DRO Validate Setup Popup Text Block,,,,
,true,"<p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">Visit the Dynamic Revenue Orchestrator home page to manage fulfillment design tasks and processes. To get hands-on with Dynamic Revenue Orchestrator,</span><a href=""/lightning/app/standard__IndustriesDfo/page/home"" target=""_blank"" style=""background-color: rgb(255, 255, 255);"" rel=""noopener noreferrer""><strong> Launch the App.</strong></a></p>",,DRO Launch App Popup Text,,,,
,true,"<p>Get visibility into a product’s fulfillment journey. Also, get a complete view of the entire fulfillment design that includes processes such as order decomposition, fulfillment plans, and jeopardy management.</p><p><br></p><ul><li><a href=""https://developer.salesforce.com/docs/atlas.en-us.revenue_lifecycle_management_dev_guide.meta/revenue_lifecycle_management_dev_guide/dynamic_revenue_orchestrator_std_objects_parent.htm"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Dynamic Revenue Orchestrator Standard Objects</strong></a>: The Dynamic Revenue Orchestrator data model provides objects and fields to manage details of a product’s fulfillment.</li><li><a href=""https://developer.salesforce.com/docs/atlas.en-us.revenue_lifecycle_management_dev_guide.meta/revenue_lifecycle_management_dev_guide/dynamic_revenue_orchestrator_invocable_actions_parent.htm"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Dynamic Revenue Orchestrator Standard Invocable Actions</strong></a>: Use standard invocable action to submit an order to Dynamic Revenue Orchestrator (DRO) for fulfillment.</li><li><a href=""https://developer.salesforce.com/docs/atlas.en-us.revenue_lifecycle_management_dev_guide.meta/revenue_lifecycle_management_dev_guide/dynamic_revenue_orchestrator_metadata_api_parent.htm"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Dynamic Revenue Orchestrator Metadata API Types</strong></a>: Metadata API enables you to access some types and feature settings that you can customize in the user interface.</li><li><a href=""https://developer.salesforce.com/docs/atlas.en-us.revenue_lifecycle_management_dev_guide.meta/revenue_lifecycle_management_dev_guide/dynamic_revenue_orchestrator_callouts_overview.htm"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Callouts in Dynamic Revenue Orchestrator</strong></a>: Use callout step types to make ‌HTTP calls to an external system. Callout step types use the Data Consumption Framework and Process Type Integration for interface management and communication with external systems.</li></ul><p>↗ <a href=""https://developer.salesforce.com/docs/atlas.en-us.revenue_lifecycle_management_dev_guide.meta/revenue_lifecycle_management_dev_guide/dynamic_revenue_orchestrator_overview.htm"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Go to the Dynamic Revenue Orchestrator Developer Guide</strong></a></p>",,DRO Customize Capabilities Popup Text,,,,
,true,"<p><span style=""color: rgb(0, 0, 0);"">Monetize your sales models with Invoice Management. Bill in advance or arrears for recurring products and services. Automate and scale invoice generation. Configure multiple legal entities and tax engines. Convert negative invoice lines to credit memos automatically. Enhance financial reporting with accurate record-keeping using accounting periods.</span></p><p><br></p><p><a href=""https://help.salesforce.com/s/articleView?id=ind.billing_setup.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217); background-color: transparent;"" rel=""noopener noreferrer""><strong>Set Up and Configure Billing</strong></a>: <span style=""color: rgb(0, 0, 0);"">Enable Billing, assign the required permission sets, and set up features.</span></p><p><br></p><p><a href=""https://help.salesforce.com/s/articleView?id=ind.billing_policies_and_treatments.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217); background-color: transparent;"" rel=""noopener noreferrer""><strong>Criteria for Invoicing Products</strong></a>: <span style=""color: rgb(0, 0, 0);"">Define billing policies, treatments, and treatment items to generate invoices that suit your sales models. Specify billing criteria to define whether you want to bill your products in advance or in arrears, whether specific products are billed, and other conditions.</span></p><p><br></p><p><a href=""https://help.salesforce.com/s/articleView?id=ind.billing_tax_configuration.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217); background-color: transparent;"" rel=""noopener noreferrer""><strong>Tax Calculation for Invoices</strong></a>: <span style=""color: rgb(0, 0, 0);"">Automatically calculate taxes on the billing amounts of your taxable products or services by using an external tax engine. Configure tax settings to authenticate the external tax engine and define rules for taxation.</span></p><p><br></p><p><a href=""https://help.salesforce.com/s/articleView?id=ind.billing_payment_terms.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217); background-color: transparent;"" rel=""noopener noreferrer""><strong>Payment Terms for Invoices</strong></a>: <span style=""color: rgb(0, 0, 0);"">Negotiate and track payment terms for invoices to set a due date for payments and collect payments in a timely manner. With payment terms, you can anticipate or enforce the date by when payments for outstanding invoices must be paid.</span></p><p><br></p><p><a href=""https://help.salesforce.com/s/articleView?id=ind.billing_financial_accounting.htm&amp;type=5"" target=""_blank"" rel=""noopener noreferrer""><strong>Financial Accounting in Revenue Cloud</strong></a><strong>: </strong><span style=""color: rgb(0, 0, 0);"">Accounting periods store information about the time frames for which your company prepares business reports and monitors company performance. Use accounting periods for legal entities to relate their billing transactions with the accounting period in which they occur.</span></p><p><br></p><p><a href=""https://help.salesforce.com/s/articleView?id=ind.billing_operations_console.htm&amp;type=5"" target=""_blank"" rel=""noopener noreferrer""><strong>Dashboard Setup:</strong></a> <span style=""color: rgb(0, 0, 0);"">Monitor invoices, credit memos, and invoice schedules from the Billing Operations Console. View key financial metrics in summary cards and manage invoice batch runs with timely insights into revenue transaction log errors and failed invoices.</span></p><p><br></p><p><a href=""https://help.salesforce.com/s/articleView?id=ind.billing.htm&amp;type=5"" target=""_blank"" rel=""noopener noreferrer""><strong>Enable Timeline for Collections:</strong></a> Configure interactive timelines so that collections specialists and collections managers can view the key events related to collections on the timeline.</p><p><br></p><p><a href=""https://help.salesforce.com/s/articleView?id=ind.billing_setup_salesforce_payments_features.htm&amp;type=5"" target=""_blank"" rel=""noopener noreferrer""><strong>Set Up Salesforce Payment for Revenue Cloud:</strong></a> Set up an Experience Cloud site that&#39;s used as a data channel between the payment provider and the Salesforce Payments feature. Then, enable Salesforce Payments to collect payments for your transactions.</p><p><br></p><p>↗ <a href=""https://help.salesforce.com/s/articleView?id=ind.billing.htm&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Explore Billing Management in Salesforce Help</strong></a></p>",,Billing Get Started Popup Text,,,,
,true,"<p>We&#39;ve got Billing set up for you. If you need to check the setup or review the steps, just refer to this.</p><p><br></p><p>Enable Billing, assign the required permission sets, and set up features.</p><p><br></p><ul><li><a href=""https://help.salesforce.com/s/articleView?id=ind.billing.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Enable Billing</strong></a>: Turn on Billing to start using Billing features.</li><li><a href=""https://help.salesforce.com/s/articleView?id=ind.billing_guided_setup.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Guided Set Up for Billing</strong></a>: The guided experience is structured to help Billing admins complete each step sequentially, ensuring your Billing setup is accurate and fully operational.</li><li><a href=""https://help.salesforce.com/s/articleView?id=ind.billing_guided_setup.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Set Up Billing Defaults</strong></a>: With Billing already enabled, the user will now have access to select system defaults for billing.</li><li><a href=""https://help.salesforce.com/s/articleView?id=ind.billing.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Payment Terms</strong></a> : Payment terms are used to establish guidelines on the timing and conditions for payments and invoice settlement between the buyer and seller. They are usually negotiated at the time of contract negotiation or creation, or order generation, and are then passed downstream to Billing.</li><li><a href=""https://help.salesforce.com/s/articleView?id=ind.billing.htm&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Create Billing Schedules and Billing Schedule Groups:</strong></a><span style=""color: rgb(2, 80, 217);""> </span><span style=""color: rgb(8, 7, 7); font-size: 12px;"">To bill orders, billing schedules and billing schedule groups must be created when orders are activated. For that to happen, you must clone a flow template called Order To Billing Schedule and activate the copy.</span></li></ul><p>↗ <a href=""https://help.salesforce.com/s/articleView?id=ind.billing_guided_setup.htm&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Show Me How to Set Up Billing in Salesforce Help</strong></a></p>",,Billing Validate Setup Popup Block,,,,
,true,"<p><br></p><p><span style=""background-color: rgb(255, 255, 255);"">To get hands-on with Billing Management, </span><a href=""/lightning/app/standard__BillingConsole/page/home"" target=""_blank"" style=""background-color: rgb(255, 255, 255);"" rel=""noopener noreferrer""><strong>Launch the App.</strong></a></p>",,Billing Launch App Popup Text,,,,
,true,"<p>Get an integrated and extensible subscription and usage-based billing solution. Automate processes such as payment processing, invoice generation, and usage-based billing.</p><p><br></p><ul><li><a href=""https://developer.salesforce.com/docs/atlas.en-us.revenue_lifecycle_management_dev_guide.meta/revenue_lifecycle_management_dev_guide/billing_std_objects_parent.htm"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Billing Standard Objects</strong></a>: The Billing data model provides objects and fields to manage billing and tax configurations, credit memos, and invoices, and accounting periods for legal entities.</li><li><a href=""https://developer.salesforce.com/docs/atlas.en-us.revenue_lifecycle_management_dev_guide.meta/revenue_lifecycle_management_dev_guide/billing_pfrm_evnt_parent.htm"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Billing Platform Events</strong></a>: Salesforce publishes standard platform events in response to an action that occurred in the org or to report errors. For example, the InvoiceProcessedEvent platform event sends notification to the customer when the billing invoice activity is complete. You can subscribe to a standard platform event by using the subscription mechanism that the event supports.</li><li><a href=""https://developer.salesforce.com/docs/atlas.en-us.revenue_lifecycle_management_dev_guide.meta/revenue_lifecycle_management_dev_guide/billing_invocable_actions_parent.htm"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Billing Standard Invocable Actions</strong></a>: Learn more about the standard invocable actions available with Billing.</li><li><a href=""https://developer.salesforce.com/docs/atlas.en-us.revenue_lifecycle_management_dev_guide.meta/revenue_lifecycle_management_dev_guide/billing_business_api_overview.htm"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Billing Business APIs</strong></a>: Use the Billing Business APIs to manage credit application and to handle billing scenarios.</li><li><a href=""https://developer.salesforce.com/docs/atlas.en-us.revenue_lifecycle_management_dev_guide.meta/revenue_lifecycle_management_dev_guide/billing_apex_reference.htm"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Billing Apex Reference</strong></a>: Billing provides the ConnectApi namespace (also called Connect in Apex) that contains classes for accessing the same capabilities that are available in the Billing Business APIs.</li><li><a href=""https://developer.salesforce.com/docs/atlas.en-us.revenue_lifecycle_management_dev_guide.meta/revenue_lifecycle_management_dev_guide/billing_metadata_api_parent.htm"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Billing Metadata API Types</strong></a>: Metadata API enables you to access some types and feature settings that you can customize in the user interface.</li></ul><p>↗ <a href=""https://developer.salesforce.com/docs/atlas.en-us.revenue_lifecycle_management_dev_guide.meta/revenue_lifecycle_management_dev_guide/billing_overview.htm"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Go to the Billing Developer Guide</strong></a></p>",,Billing Customize Capabilities Popup Block,,,,
,true,"<p><span style=""color: rgb(0, 0, 0);"">Use Rate Management to define rates for usage resources tied to sellable products. Set rates based on consumption and adjust them according to quantity and attributes. Create precise formulas with rating procedures and use the rating waterfall view to understand rate breakdowns.</span></p><p><br></p><p><a href=""https://help.salesforce.com/s/articleView?id=ind.rm_discover_and_explore.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Discover and Explore</strong></a>: <span style=""color: rgb(0, 0, 0);"">Learn about the licenses required to use rate management and the personas each license supports. Understand the key terms and things to consider when you implement rate management for your organization.</span></p><p><br></p><p><a href=""https://help.salesforce.com/s/articleView?id=ind.rm_rate_management_setup.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Rate Management Setup</strong></a>: <span style=""color: rgb(0, 0, 0);"">To access rate management objects and define rate and rate adjustments, enable the rate management setting. To gain insights into the rate calculations, enable rating waterfall.</span></p><p><br></p><p><a href=""https://help.salesforce.com/s/articleView?id=ind.rm_rating_procedures.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Rating Procedures</strong></a>: <span style=""color: rgb(0, 0, 0);"">Rating procedures are customizable, ordered stacks of rating elements that are used to calculate the final net rate of a usage resource. Each rating element forms a step in a rating procedure. Rating elements call appropriate lookup tables to perform the rating calculations.</span></p><p><br></p><p>↗ <a href=""https://help.salesforce.com/s/articleView?id=ind.rm_rate_management.htm&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Explore Rate Management in Salesforce Help</strong></a></p>",,Rate Management Get Started Popup Text Block,,,,
,true,"<p>We&#39;ve got Rate Management set up for you. If you need to check the setup or review the steps, just refer to this.</p><p><br></p><p>To access Rate Management objects and define rate and rate adjustments, enable the rate management setting. To gain insights into the rate calculations, enable rating waterfall.</p><p><br></p><ul><li><a href=""https://help.salesforce.com/s/articleView?id=ind.rm_enable_rate_management.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Enable Rate Management</strong></a>: Give your users access to the Rate Management objects and features.</li><li><a href=""https://help.salesforce.com/s/articleView?id=ind.um_usage_management.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Enable Rating Waterfall</strong></a>: Rating Waterfall provides insights and reasons for every step of the rating process. Let&#39;s say that while calculating the final net rate of a usage resource, you find out that the additional taxes applied or the discount is less than anticipated. With Waterfall View, you can view the rate breakups at every step along with the reason for the addition or deduction.</li><li><a href=""https://help.salesforce.com/s/articleView?id=ind.rm_enable_rating_waterfall_persistence.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Enable Rating Waterfall Persistence</strong></a>: Store the process logs that provide insights into the internal rating processes.</li><li><a href=""https://help.salesforce.com/s/articleView?id=ind.um_create_usage_resource_policy.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Create a Usage Resource</strong></a>: Usage resource is an entitlement or service that’s granted with the product sold to your customer. Before you start defining rates and rate adjustments for usage resources, you must create usage resources for your products.</li><li><a href=""https://help.salesforce.com/s/articleView?id=ind.rm_rate_cards_and_rate_card_entries.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Rate Cards and Rate Card Entries</strong></a>: Define the rules that are used to rate the consumption of a group of usage resources within a product. If the customer consumes the usage resource beyond the granted limits or period, specific rates are applied.</li></ul><p>↗ <a href=""https://help.salesforce.com/s/articleView?id=ind.rm_rate_management_setup.htm&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Go to Rate Management Setup in Salesforce Help</strong></a></p>",,Rate Management Validate Setup Popup Block,,,,
,true,"<p><br></p><p>To get hands-on with Rate Management, <a href=""/lightning/app/standard__RatingManagement/page/home"" target=""_blank"" rel=""noopener noreferrer""><strong>Launch the App.</strong></a></p>",,Rate Management Launch App Popup Text Block,,,,
,true,"<p>Quote and price products based on predefined rates for future use of the product or service.</p><p><br></p><ul><li><a href=""https://developer.salesforce.com/docs/atlas.en-us.revenue_lifecycle_management_dev_guide.meta/revenue_lifecycle_management_dev_guide/rate_management_std_objects_parent.htm"" target=""_blank"" style=""color: rgb(2, 80, 217); background-color: transparent;"" rel=""noopener noreferrer""><strong>Rate Management Standard Objects</strong></a>: The Rate Management data model provides objects and fields to manage rates and discounts for a product&#39;s resource consumption.</li><li><a href=""https://developer.salesforce.com/docs/atlas.en-us.revenue_lifecycle_management_dev_guide.meta/revenue_lifecycle_management_dev_guide/rate_management_metadata_api_parent.htm"" target=""_blank"" style=""color: rgb(2, 80, 217); background-color: transparent;"" rel=""noopener noreferrer""><strong>Rate Management Metadata API Types</strong></a>: Metadata API enables you to access some types and feature settings that you can customize in the user interface.</li><li><a href=""https://developer.salesforce.com/docs/atlas.en-us.revenue_lifecycle_management_dev_guide.meta/revenue_lifecycle_management_dev_guide/rate_management_business_api_overview.htm"" target=""_blank"" style=""color: rgb(2, 80, 217); background-color: transparent;"" rel=""noopener noreferrer""><strong>Rate Management Business APIs</strong></a>: Use the Rate Management Business APIs to get rate plan details.</li><li><a href=""https://developer.salesforce.com/docs/atlas.en-us.revenue_lifecycle_management_dev_guide.meta/revenue_lifecycle_management_dev_guide/rate_management_invocable_actions_parent.htm"" target=""_blank"" style=""color: rgb(2, 80, 217); background-color: transparent;"" rel=""noopener noreferrer""><strong>Rate Management Standard Invocable Actions</strong></a>: Learn more about the standard invocable actions available with Rate Management.</li></ul><p>↗ <a href=""https://developer.salesforce.com/docs/atlas.en-us.revenue_lifecycle_management_dev_guide.meta/revenue_lifecycle_management_dev_guide/rate_management_overview.htm"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Go to the Rate Management Developer Guide</strong></a></p>",,Rate Management Customize Capabilities Popup Text Block,,,,
,true,"<p>Salesforce Contracts automates and streamlines each stage of the B2B contract lifecycle:</p><p><br></p><ol><li><strong>Authoring</strong>: Automatically generate contracts using customizable templates, auto-fill data from CRM, and ensure compliance with pre-approved terms.</li><li><strong>Negotiation</strong>: Track document versions, enable real-time collaboration, and automate approval workflows to ensure all parties agree on terms and conditions.</li><li><strong>Execution</strong>: Integrate with e-signature solutions for secure and fast electronic signing, while maintaining a complete audit trail.</li><li><strong>Post-Signature</strong>: Store contracts centrally, set renewal reminders, and track performance for effective contract management and compliance.</li></ol><p>Salesforce Contracts reduces manual work, ensures consistency, and accelerates the contracting process from start to finish.</p><p><br></p><p>↗<a href=""https://help.salesforce.com/s/articleView?id=ind.qocal_contract_management_essentials.htm&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""> <strong>Explore Contracts in Salesforce Help</strong></a></p>",,Salesforce Contracts Get Started Popup Text Block,,,,
,true,"<p>After you enable the ContractManagement license in your org, you must complete the org setup and other admin tasks for the Salesforce Contracts functionalities to be available.</p><p><br></p><ol><li><a href=""https://help.salesforce.com/s/articleView?id=ind.qocal_contract_management_essentials.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Enable Salesforce Contracts</strong></a> :Grant users access to create and manage contracts by using Salesforce Contracts.</li><li><a href=""https://help.salesforce.com/s/articleView?id=ind.qocal_contract_management_essentials.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Add Salesforce Contracts Licenses and Install Omnistudio Package</strong></a>: Before you can install an Omnistudio package into an org that doesn&#39;t already have an Omnistudio package, you must prepare your browser and your Salesforce org. Omnistudio is in a managed package that you install into a Salesforce org.</li><li><a href=""https://help.salesforce.com/s/articleView?id=ind.qocal_contract_management_essentials.htm&amp;language=en_US&amp;type=5"" target=""_blank"" style=""background-color: transparent; color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Map Fields for Opportunity, Order, and Quote</strong></a>: Use the field mapping XML you can map fields between a contract and standard objects, standard BPOs, and custom objects.</li></ol><p>↗ <a href=""https://help.salesforce.com/s/articleView?id=ind.qocal_contract_management_essentials.htm&amp;type=5"" target=""_blank"" style=""color: rgb(2, 80, 217);"" rel=""noopener noreferrer""><strong>Show Me How to Set Up Contracts in Salesforce Help</strong></a></p>",,Salesforce Contracts Validate Setup Popup Text Block,,,,
